o:resource_template,o:resource_class,o:owner,o:is_public,dcterms:title,dcterms:description,dcterms:type,dcterms:educationLevel,foaf:mbox,foaf:gender,foaf:firstName,foaf:familyName,foaf:phone,foaf:member,foaf:status,fup8:code,fup8:ects,fup8:semestre,fup8:coef,fup8:vhec,fup8:vhch,fup8:cch,fup8:pcCM,fup8:pcTD,fup8:pcTP,fup8:sd,fup8:libre,fup8:mutuaDst,fup8:mutuaSrc,fup8:nbg,fup8:hasUE,fup8:hasParcours,fup8:hasHeadTeacher,fup8:hasAgenda,rome:accesEmploi,rome:hasAppellation,rome:code,rome:libelle,rome:definition,rome:riasecMajeur,rome:riasecMineur,rome:transitionEcologiqueDetaillee,rome:codeIsco,rome:hasDomaineProfessionnel,rome:grandDomaine,rome:libelleCourt,rome:classification,rome:hasCompetenceCle,rome:type,rome:codeOgr,rome:hasTheme,rome:hasCentreInteret,rome:hasSecteurActivite,rome:hasCompetenceMobilisee,rome:hasCompetenceMobiliseePrincipale,rome:hasNaf,rome:hasFormacode,rome:hasContexteTravail,rome:categorie
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12134,"Responsable de département télécoms",,,,,,,,"Responsable de département télécoms",SYNONYME,"Définir la stratégie des systèmes d'informations : 100 | Procéder au choix de réalisation, de traitement en interne ou par sous-traitance et en contrôler la conformité de réalisation : 89 | Réseaux informatiques et télécoms : 100 | Animer, coordonner une équipe : 100 | Concevoir et gérer un projet : 100",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200149,"Project Manager",,,,,,,,"Project Manager",SYNONYME,"Définir la stratégie des systèmes d'informations : 86 | Procéder au choix de réalisation, de traitement en interne ou par sous-traitance et en contrôler la conformité de réalisation : 93 | Élaborer un schéma directeur technique, définir des besoins en équipement : 63 | Concevoir et gérer un projet : 71",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18948,"Responsable des systèmes d'information",,,,,,,,"Responsable des systèmes d'information",SYNONYME,"Définir la stratégie des systèmes d'informations : 97 | Procéder au choix de réalisation, de traitement en interne ou par sous-traitance et en contrôler la conformité de réalisation : 95 | Élaborer un schéma directeur technique, définir des besoins en équipement : 79 | Concevoir et gérer un projet : 81",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12128,"Responsable de département informatique",,,,,,,,"Responsable de département informatique",SYNONYME,"Définir la stratégie des systèmes d'informations : 92 | Procéder au choix de réalisation, de traitement en interne ou par sous-traitance et en contrôler la conformité de réalisation : 92 | Élaborer un schéma directeur technique, définir des besoins en équipement : 83 | Concevoir et gérer un projet : 87",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19156,"Responsable production informatique",,,,,,,,"Responsable production informatique",SYNONYME,"Définir la stratégie des systèmes d'informations : 100 | Procéder au choix de réalisation, de traitement en interne ou par sous-traitance et en contrôler la conformité de réalisation : 100 | Élaborer un schéma directeur technique, définir des besoins en équipement : 87 | Concevoir et gérer un projet : 87",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18845,"Responsable de réseaux télécoms",,,,,,,,"Responsable de réseaux télécoms",SYNONYME,"Définir la stratégie des systèmes d'informations : 100 | Procéder au choix de réalisation, de traitement en interne ou par sous-traitance et en contrôler la conformité de réalisation : 95 | Élaborer un schéma directeur technique, définir des besoins en équipement : 90 | Concevoir et gérer un projet : 90",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14387,"Directeur / Directrice des systèmes d'information et télécoms",,,,,,,,"Directeur/Directrice des systèmes d'information et télécoms",SYNONYME,"Définir la stratégie des systèmes d'informations : 100 | Procéder au choix de réalisation, de traitement en interne ou par sous-traitance et en contrôler la conformité de réalisation : 100 | Élaborer un schéma directeur technique, définir des besoins en équipement : 100 | Diriger et gérer un ensemble, une structure, une organisation : 100 | Concevoir et gérer un projet : 100",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14381,"Directeur / Directrice des services informatiques -DSI-",,,,,,,,"Directeur / Directrice des services informatiques -DSI-",PRINCIPALE,"Définir la stratégie des systèmes d'informations : 85 | Procéder au choix de réalisation, de traitement en interne ou par sous-traitance et en contrôler la conformité de réalisation : 79 | Élaborer un schéma directeur technique, définir des besoins en équipement : 69 | Concevoir et gérer un projet : 74",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18706,"Responsable de domaine en informatique",,,,,,,,"Responsable de domaine en informatique",SYNONYME,"Définir la stratégie des systèmes d'informations : 95 | Procéder au choix de réalisation, de traitement en interne ou par sous-traitance et en contrôler la conformité de réalisation : 95 | Élaborer un schéma directeur technique, définir des besoins en équipement : 75 | Concevoir et gérer un projet : 90",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18749,"Responsable de la production informatique",,,,,,,,"Responsable de la production informatique",SYNONYME,"Définir la stratégie des systèmes d'informations : 80 | Procéder au choix de réalisation, de traitement en interne ou par sous-traitance et en contrôler la conformité de réalisation : 74 | Élaborer un schéma directeur technique, définir des besoins en équipement : 67 | Concevoir et gérer un projet : 80",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14311,"Directeur / Directrice de projet télécoms",,,,,,,,"Directeur / Directrice de projet télécoms",SYNONYME,"Définir la stratégie des systèmes d'informations : 100 | Procéder au choix de réalisation, de traitement en interne ou par sous-traitance et en contrôler la conformité de réalisation : 100 | Élaborer un schéma directeur technique, définir des besoins en équipement : 98 | Concevoir et gérer un projet : 98",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14284,"Directeur / Directrice de l'Organisation et des Systèmes d'Information -DOSI-",,,,,,,,"Directeur/Directrice Organisation et Systèmes d'Information",SYNONYME,"Définir la stratégie des systèmes d'informations : 100 | Procéder au choix de réalisation, de traitement en interne ou par sous-traitance et en contrôler la conformité de réalisation : 100 | Élaborer un schéma directeur technique, définir des besoins en équipement : 84 | Concevoir et gérer un projet : 84",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14250,"Directeur / Directrice de département informatique",,,,,,,,"Directeur / Directrice de département informatique",SYNONYME,"Définir la stratégie des systèmes d'informations : 100 | Procéder au choix de réalisation, de traitement en interne ou par sous-traitance et en contrôler la conformité de réalisation : 100 | Élaborer un schéma directeur technique, définir des besoins en équipement : 67 | Concevoir et gérer un projet : 67",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14455,"Directeur / Directrice informatique",,,,,,,,"Directeur / Directrice informatique",SYNONYME,"Définir la stratégie des systèmes d'informations : 100 | Procéder au choix de réalisation, de traitement en interne ou par sous-traitance et en contrôler la conformité de réalisation : 86 | Élaborer un schéma directeur technique, définir des besoins en équipement : 62 | Concevoir et gérer un projet : 81",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18938,"Responsable des relations presse",,,,,,,,"Responsable des relations presse",SYNONYME,"Réaliser une revue de presse : 88 | Rédiger le contenu d'un support de communication : 100 | Concevoir des supports de communication audiovisuels : 100 | Réaliser des actions de relation publique, de diffusion et de promotion de l'information : 100 | Mettre en oeuvre des actions de communication : 88",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19023,"Responsable du service de presse",,,,,,,,"Responsable du service de presse",SYNONYME,"Rédiger le contenu d'un support de communication : 97 | Concevoir des supports de communication audiovisuels : 85 | Concevoir des supports de communication visuelle : 94 | Réaliser des actions de relation publique, de diffusion et de promotion de l'information : 92 | Mettre en oeuvre des actions de communication : 83",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12138,"Responsable de division télécoms",,,,,,,,"Responsable de division télécoms",SYNONYME,"Définir la stratégie des systèmes d'informations : 100 | Procéder au choix de réalisation, de traitement en interne ou par sous-traitance et en contrôler la conformité de réalisation : 100 | Élaborer un schéma directeur technique, définir des besoins en équipement : 100 | Concevoir et gérer un projet : 100",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18937,"Responsable des relations internes",,,,,,,,"Responsable des relations internes",SYNONYME,"Rédiger le contenu d'un support de communication : 100 | Concevoir des supports de communication audiovisuels : 100 | Concevoir des supports de communication visuelle : 100 | Réaliser des actions de relation publique, de diffusion et de promotion de l'information : 100 | Mettre en oeuvre des actions de communication : 80",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13525,"Consultant / Consultante en communication",,,,,,,,"Consultant / Consultante en communication",SYNONYME,"Rédiger le contenu d'un support de communication : 94 | Concevoir des supports de communication audiovisuels : 68 | Concevoir des supports de communication visuelle : 75 | Réaliser des actions de relation publique, de diffusion et de promotion de l'information : 94 | Mettre en oeuvre des actions de communication : 78",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16210,Lobbyiste,,,,,,,,Lobbyiste,SYNONYME,"Réseaux stratégiques d'information : 100 | Rédiger le contenu d'un support de communication : 97 | Concevoir des supports de communication audiovisuels : 85 | Concevoir des supports de communication visuelle : 94 | Réaliser des actions de relation publique, de diffusion et de promotion de l'information : 100",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13411,"Conseiller / Conseillère en communication",,,,,,,,"Conseiller / Conseillère en communication",SYNONYME,"Rédiger le contenu d'un support de communication : 99 | Concevoir des supports de communication audiovisuels : 93 | Concevoir des supports de communication visuelle : 97 | Réaliser des actions de relation publique, de diffusion et de promotion de l'information : 93 | Mettre en oeuvre des actions de communication : 83",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18349,"Rédacteur / Rédactrice des débats",,,,,,,,"Rédacteur / Rédactrice des débats",SYNONYME,"Normes rédactionnelles : 100 | Rédiger le contenu d'un support de communication : 97 | Concevoir des supports de communication visuelle : 94 | Réaliser des actions de relation publique, de diffusion et de promotion de l'information : 92 | Utiliser les outils numériques : 69",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13485,"Conseiller / Conseillère technique en communication",,,,,,,,"Conseiller / Conseillère technique en communication",SYNONYME,"Rédiger le contenu d'un support de communication : 100 | Concevoir des supports de communication audiovisuels : 97 | Concevoir des supports de communication visuelle : 97 | Réaliser des actions de relation publique, de diffusion et de promotion de l'information : 100 | Mettre en oeuvre des actions de communication : 83",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11782,"Chargé / Chargée de communication interne",,,,,,,,"Chargé / Chargée de communication interne",SYNONYME,"Rédiger le contenu d'un support de communication : 98 | Concevoir des supports de communication audiovisuels : 94 | Concevoir des supports de communication visuelle : 95 | Réaliser des actions de relation publique, de diffusion et de promotion de l'information : 95 | Mettre en oeuvre des actions de communication : 93",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11780,"Chargé / Chargée de communication",,,,,,,,"Chargé / Chargée de communication",PRINCIPALE,"Rédiger le contenu d'un support de communication : 98 | Concevoir des supports de communication audiovisuels : 89 | Concevoir des supports de communication visuelle : 96 | Réaliser des actions de relation publique, de diffusion et de promotion de l'information : 93 | Mettre en oeuvre des actions de communication : 86",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11397,"Attaché / Attachée de presse",,,,,,,,"Attaché / Attachée de presse",SYNONYME,"Rédiger le contenu d'un support de communication : 97 | Concevoir des supports de communication audiovisuels : 85 | Concevoir des supports de communication visuelle : 90 | Réaliser des actions de relation publique, de diffusion et de promotion de l'information : 99 | Mettre en oeuvre des actions de communication : 83",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11888,"Chargé / Chargée des relations publiques",,,,,,,,"Chargé / Chargée des relations publiques",SYNONYME,"Rédiger le contenu d'un support de communication : 89 | Concevoir des supports de communication audiovisuels : 78 | Réaliser des actions de relation publique, de diffusion et de promotion de l'information : 94 | Mettre en oeuvre des actions de communication : 84 | Développer et piloter un réseau d'organisations partenaires : 61",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11783,"Chargé / Chargée de communication scientifique",,,,,,,,"Chargé / Chargée de communication scientifique",SYNONYME,"Rédiger le contenu d'un support de communication : 91 | Concevoir des supports de communication audiovisuels : 85 | Concevoir des supports de communication visuelle : 81 | Réaliser des actions de relation publique, de diffusion et de promotion de l'information : 66 | Mettre en oeuvre des actions de communication : 81",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11835,"Chargé / Chargée de presse",,,,,,,,"Chargé / Chargée de presse",SYNONYME,"Rédiger le contenu d'un support de communication : 100 | Concevoir des supports de communication audiovisuels : 93 | Concevoir des supports de communication visuelle : 93 | Réaliser des actions de relation publique, de diffusion et de promotion de l'information : 100 | Mettre en oeuvre des actions de communication : 70",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11318,"Assistant / Assistante parlementaire",,,,,,,,"Assistant / Assistante parlementaire",SYNONYME,"Techniques de communication orales, écrites et numériques : 93 | Normes rédactionnelles : 93 | Droit de l'information : 79 | Réseaux stratégiques d'information : 79 | Réaliser des actions de relation publique, de diffusion et de promotion de l'information : 93",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11886,"Chargé / Chargée des relations extérieures",,,,,,,,"Chargé / Chargée des relations extérieures",SYNONYME,"Rédiger le contenu d'un support de communication : 97 | Concevoir des supports de communication audiovisuels : 89 | Concevoir des supports de communication visuelle : 95 | Réaliser des actions de relation publique, de diffusion et de promotion de l'information : 97 | Mettre en oeuvre des actions de communication : 80",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11325,"Assistant / Assistante relations publiques",,,,,,,,"Assistant / Assistante relations publiques",SYNONYME,"Rédiger le contenu d'un support de communication : 97 | Concevoir des supports de communication visuelle : 78 | Réaliser des actions de relation publique, de diffusion et de promotion de l'information : 100 | Mettre en oeuvre des actions de communication : 88 | Utiliser les outils numériques : 78",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11887,"Chargé / Chargée des relations presse",,,,,,,,"Chargé / Chargée des relations presse",SYNONYME,"Rédiger le contenu d'un support de communication : 100 | Concevoir des supports de communication visuelle : 84 | Réaliser des actions de relation publique, de diffusion et de promotion de l'information : 96 | Mettre en oeuvre des actions de communication : 71 | Contrôler la conformité des données : 71",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11324,"Assistant / Assistante relations presse",,,,,,,,"Assistant / Assistante relations presse",SYNONYME,"Rédiger le contenu d'un support de communication : 95 | Concevoir des supports de communication audiovisuels : 95 | Concevoir des supports de communication visuelle : 95 | Réaliser des actions de relation publique, de diffusion et de promotion de l'information : 95 | Mettre en oeuvre des actions de communication : 95",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38963,"Chargé / Chargée de communication web",,,,,,,,"Chargé / Chargée de communication web",SYNONYME,"Rédiger le contenu d'un support de communication : 95 | Concevoir des supports de communication audiovisuels : 86 | Concevoir des supports de communication visuelle : 95 | Réaliser des actions de relation publique, de diffusion et de promotion de l'information : 88 | Mettre en oeuvre des actions de communication : 84",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38779,"Responsable des relations publiques digitales",,,,,,,,"Responsable des relations publiques digitales",SYNONYME,"Rédiger le contenu d'un support de communication : 97 | Concevoir des supports de communication audiovisuels : 97 | Concevoir des supports de communication visuelle : 97 | Réaliser des actions de relation publique, de diffusion et de promotion de l'information : 100 | Mettre en oeuvre des actions de communication : 89",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11781,"Chargé / Chargée de communication externe",,,,,,,,"Chargé / Chargée de communication externe",SYNONYME,"Rédiger le contenu d'un support de communication : 93 | Concevoir des supports de communication audiovisuels : 89 | Concevoir des supports de communication visuelle : 97 | Réaliser des actions de relation publique, de diffusion et de promotion de l'information : 95 | Mettre en oeuvre des actions de communication : 81",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18936,"Responsable des relations extérieures",,,,,,,,"Responsable des relations extérieures",SYNONYME,"Rédiger le contenu d'un support de communication : 91 | Concevoir des supports de communication audiovisuels : 73 | Concevoir des supports de communication visuelle : 73 | Réaliser des actions de relation publique, de diffusion et de promotion de l'information : 91 | Mettre en oeuvre des actions de communication : 73",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13713,"Coordonnateur / Coordonnatrice des relations internationales",,,,,,,,"Coordonnateur / Coordonnatrice des relations internationales",SYNONYME,"Rédiger le contenu d'un support de communication : 77 | Concevoir des supports de communication audiovisuels : 75 | Concevoir des supports de communication visuelle : 77 | Réaliser des actions de relation publique, de diffusion et de promotion de l'information : 77 | Mettre en oeuvre des actions de communication : 72",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19523,"Sténographe des débats",,,,,,,,"Sténographe des débats",SYNONYME,"Rédiger le contenu d'un support de communication : 97 | Concevoir des supports de communication audiovisuels : 85 | Concevoir des supports de communication visuelle : 94 | Réaliser des actions de relation publique, de diffusion et de promotion de l'information : 92 | Mettre en oeuvre des actions de communication : 83",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11784,"Chargé / Chargée de communication sociale",,,,,,,,"Chargé / Chargée de communication sociale",SYNONYME,"Rédiger le contenu d'un support de communication : 100 | Concevoir des supports de communication audiovisuels : 87 | Concevoir des supports de communication visuelle : 100 | Réaliser des actions de relation publique, de diffusion et de promotion de l'information : 100 | Mettre en oeuvre des actions de communication : 91",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38817,"Consultant / Consultante en e-réputation",,,,,,,,"Consultant / Consultante en e-réputation",SYNONYME,"Rédiger le contenu d'un support de communication : 100 | Concevoir des supports de communication audiovisuels : 100 | Concevoir des supports de communication visuelle : 100 | Réaliser des actions de relation publique, de diffusion et de promotion de l'information : 100 | Mettre en oeuvre des actions de communication : 100",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38962,"Chargé / Chargée de communication on line",,,,,,,,"Chargé / Chargée de communication on line",SYNONYME,"Administrer un site web : 90 | Rédiger le contenu d'un support de communication : 100 | Concevoir des supports de communication visuelle : 100 | Réaliser des actions de relation publique, de diffusion et de promotion de l'information : 90 | Mettre en oeuvre des actions de communication : 70",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11222,"Assistant / Assistante de communication",,,,,,,,"Assistant / Assistante de communication",SYNONYME,"Rédiger le contenu d'un support de communication : 99 | Concevoir des supports de communication audiovisuels : 88 | Concevoir des supports de communication visuelle : 97 | Réaliser des actions de relation publique, de diffusion et de promotion de l'information : 93 | Mettre en oeuvre des actions de communication : 86",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38778,"Chargé / Chargée des relations publiques digitales",,,,,,,,"Chargé / Chargée des relations publiques digitales",SYNONYME,"Administrer un site web : 86 | Rédiger le contenu d'un support de communication : 95 | Concevoir des supports de communication visuelle : 92 | Réaliser des actions de relation publique, de diffusion et de promotion de l'information : 92 | Mettre en oeuvre des actions de communication : 56",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20732,"Webmaster chargé / chargée de communication",,,,,,,,"Webmaster chargé / chargée de communication",SYNONYME,"Rédiger le contenu d'un support de communication : 96 | Concevoir des supports de communication audiovisuels : 72 | Concevoir des supports de communication visuelle : 94 | Réaliser des actions de relation publique, de diffusion et de promotion de l'information : 77 | Mettre en oeuvre des actions de communication : 75",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38818,"Social media manager - Responsable des médias sociaux",,,,,,,,"Social media manager - Responsable des médias sociaux",SYNONYME,"Rédiger le contenu d'un support de communication : 99 | Concevoir des supports de communication audiovisuels : 92 | Concevoir des supports de communication visuelle : 94 | Réaliser des actions de relation publique, de diffusion et de promotion de l'information : 93 | Mettre en oeuvre des actions de communication : 86",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13587,"Contrôleur comptable et financier / Contrôleuse comptable et financière",,,,,,,,"Contrôleur(se) comptable et financier(ère)",SYNONYME,"Méthodes et procédures de contrôle comptable : 97 | Procédures de contrôle comptable : 93 | Réaliser des opérations comptables : 65 | Concevoir des supports de suivi et de gestion : 54 | Expliquer et faire respecter les règles et procédures : 96",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15920,"Inspecteur comptable et financier / Inspectrice comptable et financière",,,,,,,,"Inspecteur(trice) comptable et financier(ère)",SYNONYME,"Méthodes et procédures de contrôle comptable : 100 | Procédures de contrôle comptable : 91 | Réaliser des opérations comptables : 73 | Élaborer des procédures administratives ou comptables : 58 | Expliquer et faire respecter les règles et procédures : 100",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13586,"Contrôleur / Contrôleuse budgétaire",,,,,,,,"Contrôleur / Contrôleuse budgétaire",SYNONYME,"Méthodes et procédures de contrôle comptable : 91 | Procédures de contrôle comptable : 87 | Réaliser des opérations comptables : 56 | Concevoir des supports de suivi et de gestion : 86 | Expliquer et faire respecter les règles et procédures : 93",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11407,"Auditeur / Auditrice comptable",,,,,,,,"Auditeur / Auditrice comptable",SYNONYME,"Méthodes et procédures de contrôle comptable : 93 | Procédures de contrôle comptable : 98 | Concevoir des supports de suivi et de gestion : 62 | Élaborer des procédures administratives ou comptables : 63 | Expliquer et faire respecter les règles et procédures : 97",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11413,"Auditeur / Auditrice interne",,,,,,,,"Auditeur / Auditrice interne",SYNONYME,"Méthodes et procédures de contrôle comptable : 84 | Procédures de contrôle comptable : 75 | Concevoir des supports de suivi et de gestion : 87 | Élaborer des procédures administratives ou comptables : 88 | Expliquer et faire respecter les règles et procédures : 95",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12703,"Collaborateur / Collaboratrice d'expertise comptable",,,,,,,,"Collaborateur / Collaboratrice d'expertise comptable",SYNONYME,"Méthodes et procédures de contrôle comptable : 93 | Procédures de contrôle comptable : 91 | Réaliser des opérations comptables : 88 | Élaborer des procédures administratives ou comptables : 56 | Expliquer et faire respecter les règles et procédures : 92",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12769,"Commissaire aux comptes",,,,,,,,"Commissaire aux comptes",SYNONYME,"Méthodes et procédures de contrôle comptable : 100 | Procédures de contrôle comptable : 100 | Réaliser des opérations comptables : 75 | Élaborer des procédures administratives ou comptables : 100 | Expliquer et faire respecter les règles et procédures : 100",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38300,"Auditeur légal / Auditrice légale",,,,,,,,"Auditeur légal / Auditrice légale",SYNONYME,"Méthode de plan d'audit annuel : 85 | Programme de mission d'audit : 87 | Méthodes et procédures de contrôle comptable : 93 | Préparer les éléments nécessaires à un audit financier : 97 | Relayer de l'information : 67",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19257,"Réviseur / Réviseuse des comptes",,,,,,,,"Réviseur / Réviseuse des comptes",SYNONYME,"Méthodes et procédures de contrôle comptable : 97 | Réaliser des opérations comptables : 69 | Concevoir des supports de suivi et de gestion : 68 | Réaliser un audit financier : 66 | Expliquer et faire respecter les règles et procédures : 97",,,,,,,,,,,
